Detailed Statistics Airborne Time  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Origin Airport,Destination Airport,Airborne Time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","02/26/2023","1470","N929AA","SEA","DFW","189","0","0","0","0","0"
"AA","02/26/2023","1667","N409AA","SEA","DFW","198","0","0","1","0","188"
"AA","02/26/2023","1992","N157AA","SEA","DFW","217","0","0","0","0","0"
"AA","02/26/2023","2748","N992AU","SEA","DFW","199","0","0","52","0","0"
"AA","02/26/2023","2767","N551UW","SEA","DFW","194","0","0","0","0","0"
"AA","02/26/2023","2769","N990AU","SEA","DFW","199","0","0","0","0","0"
"AA","02/27/2023","1470","N166NN","SEA","DFW","192","0","0","0","0","0"
"AA","02/27/2023","1667","N429AN","SEA","DFW","199","0","0","0","0","0"
"AA","02/27/2023","1992","N135NN","SEA","DFW","198","0","0","0","0","0"
"AA","02/27/2023","2748","N124AA","SEA","DFW","195","0","0","0","0","0"
"AA","02/27/2023","2767","N537UW","SEA","DFW","207","1","0","11","0","19"
"AA","02/27/2023","2769","N932AM","SEA","DFW","197","0","0","0","0","0"
"AA","02/28/2023","1470","N162AA","SEA","DFW","196","0","0","0","0","0"
"AA","02/28/2023","1667","N403AN","SEA","DFW","187","62","0","0","0","0"
"AA","02/28/2023","1992","N161AA","SEA","DFW","197","0","0","0","0","0"
"AA","02/28/2023","2748","N907AA","SEA","DFW","186","0","0","0","0","0"
"AA","02/28/2023","2767","N153UW","SEA","DFW","197","14","0","0","0","1"
"AA","02/28/2023","2769","N149AN","SEA","DFW","189","0","0","0","0","0"
"AA","03/01/2023","1667","N904AA","SEA","DFW","202","0","0","0","0","0"
"AA","03/01/2023","1992","N991AU","SEA","DFW","191","0","0","0","0","0"
"AA","03/01/2023","2748","N447AN","SEA","DFW","199","0","0","0","0","0"
"AA","03/01/2023","2767","N507AY","SEA","DFW","197","0","0","37","0","31"
"AA","03/01/2023","2769","N153AN","SEA","DFW","208","41","0","18","0","0"
"AA","03/02/2023","1470","N138AN","SEA","DFW","188","0","0","0","0","0"
"AA","03/02/2023","1667","N161AA","SEA","DFW","220","0","0","0","0","0"
"AA","03/02/2023","1992","N131NN","SEA","DFW","213","9","0","6","0","30"
"AA","03/02/2023","2748","N466AN","SEA","DFW","196","0","0","0","0","0"
"AA","03/02/2023","2767","N151AN","SEA","DFW","0","0","0","0","0","0"
"AA","03/02/2023","2769","N166NN","SEA","DFW","0","0","0","0","0","0"
"AA","03/03/2023","1470","N159AN","SEA","DFW","184","0","0","0","0","0"
"AA","03/03/2023","1667","N164NN","SEA","DFW","188","0","0","0","0","0"
"AA","03/03/2023","1992","N901AA","SEA","DFW","183","0","0","0","0","0"
"AA","03/03/2023","2748","N404AN","SEA","DFW","186","0","0","0","0","0"
"AA","03/03/2023","2767","N582UW","SEA","DFW","191","11","0","0","0","16"
"AA","03/03/2023","2769","N148AN","SEA","DFW","189","21","0","0","0","7"
"AA","03/04/2023","1470","N996AN","SEA","DFW","191","0","0","0","0","0"
"AA","03/04/2023","1667","N929AA","SEA","DFW","186","0","0","0","0","0"
"AA","03/04/2023","1992","N903AA","SEA","DFW","196","0","0","0","0","0"
"AA","03/04/2023","2748","N438AN","SEA","DFW","183","0","0","0","0","0"
"AA","03/04/2023","2767","N120EE","SEA","DFW","199","0","0","0","0","0"
"AA","03/04/2023","2769","N148AN","SEA","DFW","197","0","0","0","0","0"
"AA","03/05/2023","1470","N161AA","SEA","DFW","189","0","0","0","0","0"
"AA","03/05/2023","1667","N127AA","SEA","DFW","186","0","0","0","0","0"
"AA","03/05/2023","1992","N137AA","SEA","DFW","188","0","0","0","0","0"
"AA","03/05/2023","2748","N455AN","SEA","DFW","188","0","0","0","0","0"
"AA","03/05/2023","2767","N510UW","SEA","DFW","191","0","0","0","0","0"
"AA","03/05/2023","2769","N158AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/06/2023","1470","N929AA","SEA","DFW","197","0","0","0","0","0"
"AA","03/06/2023","1667","N121AN","SEA","DFW","191","0","0","0","0","0"
"AA","03/06/2023","1992","N138AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/06/2023","2748","N428AA","SEA","DFW","196","0","0","0","0","606"
"AA","03/06/2023","2767","N971UY","SEA","DFW","192","0","0","0","0","0"
"AA","03/06/2023","2769","N150NN","SEA","DFW","191","0","0","0","0","0"
"AA","03/07/2023","1667","N993AN","SEA","DFW","200","0","0","0","0","0"
"AA","03/07/2023","1992","N159AN","SEA","DFW","196","0","0","0","0","0"
"AA","03/07/2023","2748","N465AN","SEA","DFW","197","0","0","0","0","0"
"AA","03/07/2023","2767","N584UW","SEA","DFW","197","41","0","0","0","210"
"AA","03/07/2023","2769","N152UW","SEA","DFW","204","0","0","0","0","0"
"AA","03/08/2023","1667","N902AA","SEA","DFW","201","0","0","0","0","0"
"AA","03/08/2023","1992","N142AN","SEA","DFW","206","0","0","0","0","0"
"AA","03/08/2023","2748","N420AN","SEA","DFW","199","0","0","0","0","0"
"AA","03/08/2023","2767","N583UW","SEA","DFW","216","0","0","23","0","0"
"AA","03/08/2023","2769","N907AA","SEA","DFW","217","6","0","23","0","9"
"AA","03/09/2023","1470","N466AN","SEA","DFW","189","0","0","0","0","0"
"AA","03/09/2023","1667","N156AN","SEA","DFW","189","1615","0","0","0","0"
"AA","03/09/2023","1992","N154AA","SEA","DFW","187","0","0","0","0","44"
"AA","03/09/2023","2748","N465AN","SEA","DFW","186","0","0","0","0","0"
"AA","03/09/2023","2767","N580UW","SEA","DFW","191","0","0","0","0","0"
"AA","03/09/2023","2769","N906AA","SEA","DFW","194","1","0","0","0","16"
"AA","03/10/2023","1470","N989AU","SEA","DFW","185","0","0","0","0","0"
"AA","03/10/2023","1667","N901AA","SEA","DFW","201","0","0","0","0","0"
"AA","03/10/2023","1992","N986AN","SEA","DFW","185","0","0","0","0","0"
"AA","03/10/2023","2748","N451AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/10/2023","2767","N584UW","SEA","DFW","191","0","0","0","0","0"
"AA","03/10/2023","2769","N163AA","SEA","DFW","192","0","0","0","0","0"
"AA","03/11/2023","1470","N909AM","SEA","DFW","200","5","0","5","0","37"
"AA","03/11/2023","1667","N119NN","SEA","DFW","186","0","0","0","0","0"
"AA","03/11/2023","1992","N129AA","SEA","DFW","188","0","0","0","0","0"
"AA","03/11/2023","2748","N442AN","SEA","DFW","187","0","0","0","0","0"
"AA","03/11/2023","2767","N926UW","SEA","DFW","192","0","0","0","0","0"
"AA","03/11/2023","2769","N164NN","SEA","DFW","188","0","0","0","0","22"
"AA","03/12/2023","1470","N929AA","SEA","DFW","194","3","0","0","0","18"
"AA","03/12/2023","1667","N930AU","SEA","DFW","193","0","0","0","0","0"
"AA","03/12/2023","1992","N148AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/12/2023","2748","N431AN","SEA","DFW","188","0","0","0","0","0"
"AA","03/12/2023","2767","N167US","SEA","DFW","202","0","0","0","0","33"
"AA","03/12/2023","2769","N157AA","SEA","DFW","202","0","0","0","0","0"
"AA","03/13/2023","1470","N129AA","SEA","DFW","183","0","0","0","0","0"
"AA","03/13/2023","1667","N990AU","SEA","DFW","199","0","0","0","0","0"
"AA","03/13/2023","1992","N146AA","SEA","DFW","198","0","0","0","0","0"
"AA","03/13/2023","2748","N422AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/13/2023","2767","N433AN","SEA","DFW","201","0","0","0","0","0"
"AA","03/13/2023","2769","N133AN","SEA","DFW","200","0","0","0","0","0"
"AA","03/14/2023","1667","N987AM","SEA","DFW","182","0","0","0","0","0"
"AA","03/14/2023","1992","N127AA","SEA","DFW","195","0","0","0","0","29"
"AA","03/14/2023","2748","N448AN","SEA","DFW","186","0","0","0","0","0"
"AA","03/14/2023","2767","N535UW","SEA","DFW","186","0","0","0","0","0"
"AA","03/14/2023","2769","N161AA","SEA","DFW","189","0","0","0","0","0"
"AA","03/15/2023","1470","N156UW","SEA","DFW","206","0","0","0","0","0"
"AA","03/15/2023","1667","N121AN","SEA","DFW","192","0","0","0","0","0"
"AA","03/15/2023","1992","N996AN","SEA","DFW","201","0","0","0","0","0"
"AA","03/15/2023","2748","N459AN","SEA","DFW","194","0","0","0","0","0"
"AA","03/15/2023","2767","N148AN","SEA","DFW","209","0","0","23","0","0"
"AA","03/15/2023","2769","N995AN","SEA","DFW","211","0","0","0","0","0"
"AA","03/16/2023","1470","N160AN","SEA","DFW","0","0","0","0","0","0"
"AA","03/16/2023","1667","N141NN","SEA","DFW","203","3","0","38","0","0"
"AA","03/16/2023","1992","N155NN","SEA","DFW","216","0","0","17","0","0"
"AA","03/16/2023","2748","N410AN","SEA","DFW","203","0","0","0","0","0"
"AA","03/16/2023","2767","N508AY","SEA","DFW","0","0","0","0","0","0"
"AA","03/16/2023","2769","N123NN","SEA","DFW","0","0","0","0","0","0"
"AA","03/17/2023","1470","N167AN","SEA","DFW","193","0","0","0","0","21"
"AA","03/17/2023","1667","N160AN","SEA","DFW","195","0","0","0","0","0"
"AA","03/17/2023","1992","N147AA","SEA","DFW","197","0","0","0","0","0"
"AA","03/17/2023","2748","N401AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/17/2023","2767","N978UY","SEA","DFW","200","0","0","0","0","0"
"AA","03/17/2023","2769","N163AA","SEA","DFW","194","0","0","0","0","0"
"AA","03/18/2023","1470","N987AM","SEA","DFW","193","0","0","0","0","0"
"AA","03/18/2023","1667","N154AA","SEA","DFW","193","0","0","0","0","0"
"AA","03/18/2023","1992","N166NN","SEA","DFW","193","0","0","0","0","0"
"AA","03/18/2023","2748","N423AN","SEA","DFW","197","0","0","0","0","0"
"AA","03/18/2023","2767","N162UW","SEA","DFW","194","0","0","0","0","0"
"AA","03/18/2023","2769","N163AA","SEA","DFW","194","0","0","0","0","0"
"AA","03/19/2023","1470","N140AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/19/2023","1667","N127AA","SEA","DFW","192","0","0","0","0","0"
"AA","03/19/2023","1992","N929AA","SEA","DFW","195","0","0","0","0","0"
"AA","03/19/2023","2748","N437AN","SEA","DFW","194","0","0","0","0","0"
"AA","03/19/2023","2767","N975UY","SEA","DFW","193","0","0","0","0","0"
"AA","03/19/2023","2769","N161AA","SEA","DFW","201","1","0","4","0","365"
"AA","03/20/2023","1470","N143AN","SEA","DFW","0","0","0","0","0","0"
"AA","03/20/2023","1667","N976UY","SEA","DFW","195","0","0","0","0","0"
"AA","03/20/2023","1992","N912UY","SEA","DFW","195","0","0","0","0","0"
"AA","03/20/2023","2748","N400AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/20/2023","2767","N546UW","SEA","DFW","192","22","0","0","0","0"
"AA","03/20/2023","2769","N990AU","SEA","DFW","190","0","0","0","0","0"
"AA","03/21/2023","1667","N163AA","SEA","DFW","189","0","0","0","0","0"
"AA","03/21/2023","1992","N129AA","SEA","DFW","195","0","0","0","0","20"
"AA","03/21/2023","2748","N443AA","SEA","DFW","192","0","0","0","0","0"
"AA","03/21/2023","2767","N979UY","SEA","DFW","199","79","0","4","0","65"
"AA","03/21/2023","2769","N996AN","SEA","DFW","195","0","0","0","0","0"
"AA","03/22/2023","1667","N126AN","SEA","DFW","199","0","0","0","0","0"
"AA","03/22/2023","1992","N148AN","SEA","DFW","217","0","0","0","0","0"
"AA","03/22/2023","2748","N442AN","SEA","DFW","203","0","0","0","0","0"
"AA","03/22/2023","2767","N979UY","SEA","DFW","199","0","0","0","0","0"
"AA","03/22/2023","2769","N163AA","SEA","DFW","219","0","0","16","0","6"
"AA","03/23/2023","1470","N139AN","SEA","DFW","0","0","0","0","0","0"
"AA","03/23/2023","1667","N929AA","SEA","DFW","204","8","0","16","0","0"
"AA","03/23/2023","1992","N150NN","SEA","DFW","232","0","0","19","0","0"
"AA","03/23/2023","2748","N450AN","SEA","DFW","202","0","0","0","0","0"
"AA","03/23/2023","2767","N549UW","SEA","DFW","224","0","0","27","0","0"
"AA","03/23/2023","2769","N121AN","SEA","DFW","213","0","0","0","0","0"
"AA","03/24/2023","1470","N158AN","SEA","DFW","189","0","0","0","0","0"
"AA","03/24/2023","1667","N909AM","SEA","DFW","211","0","0","0","0","0"
"AA","03/24/2023","1992","N908AA","SEA","DFW","193","0","0","0","0","17"
"AA","03/24/2023","2748","N426AN","SEA","DFW","213","0","0","20","0","0"
"AA","03/24/2023","2767","N191UW","SEA","DFW","198","2","0","0","0","94"
"AA","03/24/2023","2769","N133AN","SEA","DFW","196","5","0","19","0","86"
"AA","03/25/2023","1470","N972UY","SEA","DFW","192","0","0","0","0","0"
"AA","03/25/2023","1667","N162AA","SEA","DFW","190","0","0","0","0","0"
"AA","03/25/2023","1992","N997AA","SEA","DFW","192","0","0","0","0","0"
"AA","03/25/2023","2748","N460AN","SEA","DFW","189","0","0","0","0","0"
"AA","03/25/2023","2767","N181UW","SEA","DFW","194","0","0","0","0","0"
"AA","03/25/2023","2769","N986AN","SEA","DFW","191","0","0","0","0","0"
"AA","03/26/2023","1470","N152AA","SEA","DFW","191","0","0","0","0","0"
"AA","03/26/2023","1667","N142AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/26/2023","1992","N988AL","SEA","DFW","195","0","0","0","0","0"
"AA","03/26/2023","2748","N420AN","SEA","DFW","194","0","0","0","0","0"
"AA","03/26/2023","2767","N912UY","SEA","DFW","194","0","0","0","0","0"
"AA","03/26/2023","2769","N913US","SEA","DFW","199","0","0","0","0","0"
"AA","03/27/2023","1470","N132AN","SEA","DFW","194","0","0","0","0","0"
"AA","03/27/2023","1667","N156AN","SEA","DFW","190","0","0","0","0","0"
"AA","03/27/2023","1992","N153AN","SEA","DFW","188","15","0","0","0","0"
"AA","03/27/2023","2748","N436AN","SEA","DFW","191","0","0","0","0","0"
"AA","03/27/2023","2767","N508AY","SEA","DFW","193","0","0","0","0","0"
"AA","03/27/2023","2769","N909AM","SEA","DFW","199","0","0","0","0","0"
"AA","03/28/2023","1667","N133AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/28/2023","1992","N509AY","SEA","DFW","197","0","0","0","0","0"
"AA","03/28/2023","2748","N407AN","SEA","DFW","193","0","0","0","0","0"
"AA","03/28/2023","2767","N187US","SEA","DFW","200","0","0","0","0","0"
"AA","03/28/2023","2769","N156AN","SEA","DFW","202","12","0","14","0","0"
"AA","03/29/2023","1667","N166NN","SEA","DFW","203","0","0","0","0","0"
"AA","03/29/2023","1992","N151AN","SEA","DFW","199","0","0","0","0","0"
"AA","03/29/2023","2748","N412UW","SEA","DFW","203","0","0","0","0","0"
"AA","03/29/2023","2767","N560UW","SEA","DFW","203","0","0","0","0","0"
"AA","03/29/2023","2769","N910AU","SEA","DFW","205","0","0","0","0","0"
"AA","03/30/2023","1470","N153AN","SEA","DFW","199","0","0","0","0","0"
"AA","03/30/2023","1667","N993AN","SEA","DFW","207","0","0","12","5","0"
"AA","03/30/2023","1992","N159AN","SEA","DFW","198","0","0","0","0","0"
"AA","03/30/2023","2748","N427AN","SEA","DFW","201","0","0","0","0","0"
"AA","03/30/2023","2767","N509AY","SEA","DFW","206","0","0","0","0","0"
"AA","03/30/2023","2769","N923US","SEA","DFW","223","0","0","19","0","0"
"AA","03/31/2023","1470","N126AN","SEA","DFW","184","0","0","0","0","45"
"AA","03/31/2023","1667","N195UW","SEA","DFW","190","0","0","0","0","0"
"AA","03/31/2023","1992","N933AM","SEA","DFW","196","1","0","3","0","59"
"AA","03/31/2023","2748","N451AN","SEA","DFW","195","0","0","0","0","0"
"AA","03/31/2023","2767","N185UW","SEA","DFW","190","0","0","42","0","9"
"AA","03/31/2023","2769","N129AA","SEA","DFW","208","0","0","0","0","0"
"AA","04/01/2023","1470","N930AU","SEA","DFW","183","11","0","0","0","8"
"AA","04/01/2023","1667","N133AN","SEA","DFW","193","0","0","0","0","0"
"AA","04/01/2023","1992","N163AA","SEA","DFW","188","0","0","0","0","0"
"AA","04/01/2023","2748","N448AN","SEA","DFW","185","0","0","0","0","0"
"AA","04/01/2023","2767","N161AA","SEA","DFW","198","0","0","0","0","0"
"AA","04/01/2023","2769","N519UW","SEA","DFW","189","0","0","0","0","0"
"AA","04/02/2023","1470","N144AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/02/2023","1667","N132AN","SEA","DFW","190","0","0","0","0","0"
"AA","04/02/2023","1992","N123NN","SEA","DFW","189","0","15","0","0","0"
"AA","04/02/2023","2748","N411AN","SEA","DFW","191","0","0","0","0","0"
"AA","04/02/2023","2767","N562UW","SEA","DFW","0","0","0","0","0","0"
"AA","04/02/2023","2769","N908AA","SEA","DFW","187","0","69","0","0","0"
"AA","04/03/2023","1667","N907AA","SEA","DFW","197","0","0","0","0","0"
"AA","04/03/2023","1992","N934AA","SEA","DFW","199","0","0","0","0","0"
"AA","04/03/2023","2748","N417AN","SEA","DFW","195","0","0","0","0","0"
"AA","04/03/2023","2767","N979UY","SEA","DFW","199","0","0","0","0","0"
"AA","04/03/2023","2769","N140AN","SEA","DFW","195","22","0","0","0","359"
"AA","04/04/2023","1667","N587UW","SEA","DFW","193","3","0","15","0","330"
"AA","04/04/2023","1992","N119NN","SEA","DFW","196","0","0","0","0","19"
"AA","04/04/2023","2748","N119NN","SEA","DFW","195","27","0","0","0","0"
"AA","04/04/2023","2767","N925UY","SEA","DFW","197","0","0","0","0","0"
"AA","04/04/2023","2769","N162AA","SEA","DFW","214","0","0","0","0","0"
"AA","04/05/2023","1667","N120EE","SEA","DFW","200","0","0","0","0","0"
"AA","04/05/2023","1992","N910AU","SEA","DFW","198","0","0","0","0","0"
"AA","04/05/2023","2748","N440AN","SEA","DFW","196","0","0","0","0","0"
"AA","04/05/2023","2767","N165US","SEA","DFW","195","2","0","0","0","141"
"AA","04/05/2023","2769","N125AA","SEA","DFW","196","1","0","0","0","55"
"AA","04/06/2023","0667","N177US","SEA","DFW","202","0","0","0","0","0"
"AA","04/06/2023","1667","N986AN","SEA","DFW","203","0","0","0","0","0"
"AA","04/06/2023","1992","N987AM","SEA","DFW","204","0","0","0","0","0"
"AA","04/06/2023","2748","N459AN","SEA","DFW","199","0","0","0","0","0"
"AA","04/06/2023","2767","N182UW","SEA","DFW","209","2","0","10","0","3"
"AA","04/06/2023","2769","N147AA","SEA","DFW","203","0","0","0","0","0"
"AA","04/07/2023","0667","N173US","SEA","DFW","198","13","0","0","0","686"
"AA","04/07/2023","1667","N150NN","SEA","DFW","214","0","0","21","0","0"
"AA","04/07/2023","1992","N162AA","SEA","DFW","205","0","0","0","0","0"
"AA","04/07/2023","2748","N458AL","SEA","DFW","215","0","0","0","0","0"
"AA","04/07/2023","2767","N975UY","SEA","DFW","209","0","0","0","0","0"
"AA","04/07/2023","2769","N154AA","SEA","DFW","211","0","0","0","0","0"
"AA","04/08/2023","1667","N121AN","SEA","DFW","198","0","0","0","0","0"
"AA","04/08/2023","2748","N447AN","SEA","DFW","200","0","0","0","0","0"
"AA","04/08/2023","2767","N914UY","SEA","DFW","194","0","0","0","0","58"
"AA","04/08/2023","2769","N155NN","SEA","DFW","195","0","0","0","0","0"
"AA","04/09/2023","0667","N977UY","SEA","DFW","191","6","0","0","0","24"
"AA","04/09/2023","1667","N165NN","SEA","DFW","191","0","0","0","0","0"
"AA","04/09/2023","1992","N906AA","SEA","DFW","193","0","0","0","0","0"
"AA","04/09/2023","2748","N423AN","SEA","DFW","190","0","0","0","0","0"
"AA","04/09/2023","2767","N194UW","SEA","DFW","192","0","0","0","0","0"
"AA","04/09/2023","2769","N931AM","SEA","DFW","216","20","0","0","0","0"
"AA","04/10/2023","0667","N997AA","SEA","DFW","206","166","0","20","0","0"
"AA","04/10/2023","1667","N145AN","SEA","DFW","199","47","0","3","0","0"
"AA","04/10/2023","1992","N988AL","SEA","DFW","197","0","0","0","0","0"
"AA","04/10/2023","2748","N439AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/10/2023","2767","N917UY","SEA","DFW","199","0","0","0","0","0"
"AA","04/10/2023","2769","N992AU","SEA","DFW","197","26","0","0","0","0"
"AA","04/11/2023","1667","N166NN","SEA","DFW","209","0","0","27","0","0"
"AA","04/11/2023","1992","N127AA","SEA","DFW","199","0","0","0","0","0"
"AA","04/11/2023","2748","N405AN","SEA","DFW","204","0","0","0","0","0"
"AA","04/11/2023","2767","N560UW","SEA","DFW","203","0","0","0","0","0"
"AA","04/11/2023","2769","N997AA","SEA","DFW","203","40","0","0","0","37"
"AA","04/12/2023","1667","N151AN","SEA","DFW","203","0","0","0","0","0"
"AA","04/12/2023","1992","N933AM","SEA","DFW","208","0","0","0","0","0"
"AA","04/12/2023","2748","N467AL","SEA","DFW","203","0","0","0","0","0"
"AA","04/12/2023","2767","N519UW","SEA","DFW","206","0","0","0","0","0"
"AA","04/12/2023","2769","N144AN","SEA","DFW","205","0","0","0","0","0"
"AA","04/13/2023","0667","N921US","SEA","DFW","203","0","0","0","0","0"
"AA","04/13/2023","1667","N131NN","SEA","DFW","202","0","0","0","0","0"
"AA","04/13/2023","1992","N132AN","SEA","DFW","203","5","0","0","0","69"
"AA","04/13/2023","2748","N466AN","SEA","DFW","199","0","0","0","0","0"
"AA","04/13/2023","2767","N917UY","SEA","DFW","204","0","0","0","0","0"
"AA","04/13/2023","2769","N994AN","SEA","DFW","201","0","0","0","0","0"
"AA","04/14/2023","0667","N509AY","SEA","DFW","189","0","0","0","0","0"
"AA","04/14/2023","1667","N144AN","SEA","DFW","205","0","0","21","0","0"
"AA","04/14/2023","1992","N147AA","SEA","DFW","190","0","0","0","0","0"
"AA","04/14/2023","2748","N454AL","SEA","DFW","203","0","0","0","0","0"
"AA","04/14/2023","2767","N918US","SEA","DFW","199","0","0","0","0","0"
"AA","04/14/2023","2769","N524UW","SEA","DFW","197","0","0","0","0","0"
"AA","04/15/2023","0667","N586UW","SEA","DFW","187","0","0","0","0","16"
"AA","04/15/2023","1667","N157AA","SEA","DFW","186","0","0","0","0","0"
"AA","04/15/2023","1992","N130AN","SEA","DFW","189","0","0","0","0","0"
"AA","04/15/2023","2748","N426AN","SEA","DFW","186","0","0","0","0","0"
"AA","04/15/2023","2767","N561UW","SEA","DFW","186","0","0","0","0","0"
"AA","04/15/2023","2769","N151AN","SEA","DFW","187","0","0","0","0","0"
"AA","04/16/2023","0667","N573UW","SEA","DFW","194","2","0","0","0","43"
"AA","04/16/2023","1667","N996AN","SEA","DFW","194","0","0","0","0","0"
"AA","04/16/2023","1992","N929AA","SEA","DFW","193","0","0","0","0","0"
"AA","04/16/2023","2748","N442AN","SEA","DFW","195","0","0","0","0","0"
"AA","04/16/2023","2767","N540UW","SEA","DFW","198","0","0","0","0","0"
"AA","04/16/2023","2769","N138AN","SEA","DFW","196","0","0","0","0","0"
"AA","04/17/2023","0667","N510UW","SEA","DFW","197","0","0","0","0","0"
"AA","04/17/2023","1667","N156AN","SEA","DFW","199","0","0","0","0","0"
"AA","04/17/2023","1992","N126AN","SEA","DFW","201","0","0","0","0","0"
"AA","04/17/2023","2748","N422AN","SEA","DFW","199","0","0","0","0","0"
"AA","04/17/2023","2767","N578UW","SEA","DFW","199","776","0","0","0","0"
"AA","04/17/2023","2769","N132AN","SEA","DFW","200","13","0","0","0","5"
"AA","04/18/2023","1667","N138AN","SEA","DFW","203","0","0","0","0","0"
"AA","04/18/2023","1992","N163AA","SEA","DFW","193","0","0","0","0","0"
"AA","04/18/2023","2748","N438AN","SEA","DFW","203","0","0","0","0","0"
"AA","04/18/2023","2767","N921US","SEA","DFW","195","0","0","0","0","0"
"AA","04/18/2023","2769","N561UW","SEA","DFW","200","0","0","0","0","0"
"AA","04/19/2023","1667","N900UW","SEA","DFW","199","0","0","0","0","0"
"AA","04/19/2023","1992","N119NN","SEA","DFW","191","0","0","0","0","0"
"AA","04/19/2023","2748","N401AN","SEA","DFW","197","0","0","0","0","0"
"AA","04/19/2023","2767","N995AN","SEA","DFW","193","0","0","0","0","0"
"AA","04/19/2023","2769","N147AA","SEA","DFW","203","0","0","0","0","0"
"AA","04/20/2023","0667","N129AA","SEA","DFW","180","0","0","0","0","0"
"AA","04/20/2023","1667","N128AN","SEA","DFW","187","16","0","0","0","0"
"AA","04/20/2023","1992","N929AA","SEA","DFW","0","0","0","0","0","0"
"AA","04/20/2023","2748","N451AN","SEA","DFW","185","0","0","0","0","0"
"AA","04/20/2023","2767","N978UY","SEA","DFW","194","0","0","0","0","0"
"AA","04/20/2023","2769","N155NN","SEA","DFW","215","5","0","17","0","19"
"AA","04/21/2023","0667","N152UW","SEA","DFW","183","0","0","0","0","0"
"AA","04/21/2023","1667","N909AM","SEA","DFW","188","0","0","0","0","0"
"AA","04/21/2023","1992","N166NN","SEA","DFW","178","0","0","0","0","0"
"AA","04/21/2023","2748","N428AA","SEA","DFW","182","0","0","0","0","0"
"AA","04/21/2023","2767","N970UY","SEA","DFW","181","2","0","0","0","14"
"AA","04/21/2023","2769","N197UW","SEA","DFW","182","0","0","0","0","0"
"AA","04/22/2023","0667","N560UW","SEA","DFW","192","0","0","0","0","0"
"AA","04/22/2023","1667","N901AA","SEA","DFW","190","0","0","0","0","0"
"AA","04/22/2023","1992","N140AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/22/2023","2748","N430AN","SEA","DFW","185","0","0","0","0","0"
"AA","04/22/2023","2767","N154UW","SEA","DFW","195","0","0","0","0","0"
"AA","04/22/2023","2769","N136AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/23/2023","0667","N152UW","SEA","DFW","197","3","0","0","0","12"
"AA","04/23/2023","1667","N120EE","SEA","DFW","196","0","0","0","0","0"
"AA","04/23/2023","1992","N142AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/23/2023","2748","N413AN","SEA","DFW","192","0","0","0","0","0"
"AA","04/23/2023","2767","N173US","SEA","DFW","200","0","0","0","0","167"
"AA","04/23/2023","2769","N134AN","SEA","DFW","200","0","0","0","0","0"
"AA","04/24/2023","0667","N917UY","SEA","DFW","195","0","0","0","0","0"
"AA","04/24/2023","1667","N141NN","SEA","DFW","193","197","0","0","0","0"
"AA","04/24/2023","1992","N900UW","SEA","DFW","190","0","0","0","0","0"
"AA","04/24/2023","2748","N468AN","SEA","DFW","191","0","0","0","0","0"
"AA","04/24/2023","2767","N923US","SEA","DFW","193","0","0","0","0","0"
"AA","04/24/2023","2769","N145AN","SEA","DFW","191","0","0","0","0","0"
"AA","04/25/2023","1667","N933AM","SEA","DFW","195","0","0","0","0","0"
"AA","04/25/2023","1992","N128AN","SEA","DFW","195","0","0","0","0","0"
"AA","04/25/2023","2748","N461AN","SEA","DFW","194","0","0","0","0","0"
"AA","04/25/2023","2767","N981UY","SEA","DFW","208","0","0","0","0","0"
"AA","04/25/2023","2769","N151AN","SEA","DFW","199","0","0","0","0","0"
"AA","04/26/2023","1667","N901AA","SEA","DFW","253","0","0","52","0","0"
"AA","04/26/2023","1992","N996AN","SEA","DFW","0","0","0","0","0","0"
"AA","04/26/2023","2748","N430AN","SEA","DFW","227","0","6","25","0","0"
"AA","04/26/2023","2767","N155UW","SEA","DFW","221","0","0","0","0","0"
